Evaluation	Subtest	question_category	Question_Number	Question_Text
DAYC-2	Social-Emotional	calm	1	relaxes body when held
DAYC-2	Social-Emotional	calm	2	stops crying when talked to, picked up, or comforted
DAYC-2	Social-Emotional	eye contact	3	establishes eye contact for at least a few seconds
DAYC-2	Social-Emotional	eye contact	4	looks at adult face for several seconds
DAYC-2	Social-Emotional	emotions	5	smiles reflexively
DAYC-2	Social-Emotional	emotions	6	interacts by smiling and cooing
DAYC-2	Social-Emotional	recognizes	7	recognizes familiar faces and objects (e.g., parent, bottle); reacts by waving arms and legs or squealing with excitement
DAYC-2	Social-Emotional	emotions	8	expresses feelings such as anger, tiredness, excitement, and hunger
DAYC-2	Social-Emotional	emotions	9	laughs, squeals, or shows enjoyment when caregiver involves child in play (e.g., moves hands to act out pat-a-cake, bounces on knee
DAYC-2	Social-Emotional	calm	10	comforts self (i.e., quits fussing by himself or herself)
DAYC-2	Social-Emotional	emotions	11	laughs when head is covered with cloth
DAYC-2	Social-Emotional	recognizes	12	knows the difference between caregivers and strangers (e.g., smiles at loved ones' stares, quiets, or refuses to smile with stranger
DAYC-2	Social-Emotional	recognizes	13	smiles at or pats own image in the mirror
DAYC-2	Social-Emotional	eye contact	14	when someone calls the child's name, he or she looks at the person and vocalizes
DAYC-2	Social-Emotional	recognizes	15	extends arms to familiar persons
DAYC-2	Social-Emotional	play	16	shows preference for certain toys, activities, or places (e.g., interacts positively vs. negative response)
DAYC-2	Social-Emotional	emotions	17	expresses affection (e.g., hugging, patting, special looks, resting head)
DAYC-2	Social-Emotional	play	18	plays simple games (e.g., peek-a-boo, pat-a-cake)
DAYC-2	Social-Emotional	imitates	19	imitates facial expressions, actions, and sounds
DAYC-2	Social-Emotional	emotions	20	repeats activity that elicits laughter or positive response from others
DAYC-2	Social-Emotional	interact	21	brings toys to share with caregiver
DAYC-2	Social-Emotional	play	22	plays well for brief time in groups of two or three children; at least some interaction among children
DAYC-2	Social-Emotional	recognizes	23	spontaneously greets familiar person by hugging or other appropriate gesture
DAYC-2	Social-Emotional	calm	24	seperates from parent in familiar surroundings without crying
DAYC-2	Social-Emotional	emotions	25	attempts to comfort others in distress (e.g., eating with spoon, putting on a coat
DAYC-2	Social-Emotional	emotions	26	insists on trying to do many things without help (e.g., eating with spoon. putting on a coat)
DAYC-2	Social-Emotional	play	27	enjoys simple make-believe play (e.g., pretends he or she is the parents, is an animal, doll is a baby
DAYC-2	Social-Emotional	emotions	28	shows pride in accomplishments
DAYC-2	Social-Emotional	calm	29	quietly listens to story, music, movie, or tv
DAYC-2	Social-Emotional	words	30	sings familiar songs with adult
DAYC-2	Social-Emotional	words	31	uses "please" and "thank you" appropriately; may need to be reminded
DAYC-2	Social-Emotional	words	32	asks for assistance when having difficulty
DAYC-2	Social-Emotional	eye contact	33	looks at person when speaking with him or her
DAYC-2	Social-Emotional	rules	34	usually takes turns 
DAYC-2	Social-Emotional	emotions	35	recognizes when another person is happy or sad
DAYC-2	Social-Emotional	rules	36	avoids common dangers (e.g., sharp knives, fire, hot stove)
DAYC-2	Social-Emotional	play	37	plays dress-up
DAYC-2	Social-Emotional	words	38	shows off by repeating rhymes, songs, or dances for others
DAYC-2	Social-Emotional	rules	39	changes from one activity to another when required by teacher or parent
DAYC-2	Social-Emotional	play	40	interacts appropriately with others during group games or activities
DAYC-2	Social-Emotional	rules	41	knows and follows classroom rules
DAYC-2	Social-Emotional	interact	42	gains attention from peers in appropriate ways 
DAYC-2	Social-Emotional	play	43	plays group board or card games
DAYC-2	Social-Emotional	rules	44	 volunteers for tasks
DAYC-2	Social-Emotional	calm	45	quiets down after active play
DAYC-2	Social-Emotional	play	46	likes competitive games
DAYC-2	Social-Emotional	rules	47	returns objects to their appropriate place
DAYC-2	Social-Emotional	emotions	48	accepts mild, friendly teasing
DAYC-2	Social-Emotional	rules	49	explains rules of a game to others
DAYC-2	Social-Emotional	emotions	50	expresses anger with nonaggressive words rather than with physical action
DAYC-2	Social-Emotional	rules	51	offers item or activity to another in exchange for an item or activity
DAYC-2	Social-Emotional	emotions	52	accepts valid criticism without crying, pouting, or refusing to continue
DAYC-2	Social-Emotional	words	53	asks before using another's belongings
DAYC-2	Social-Emotional	rules	54	provides or offers assistance to others when appropriate 
DAYC-2	Social-Emotional	rules	55	helps with group projects
DAYC-2	Social-Emotional	words	56	ends conversations with "good-bye" or other appropriate phrase
DAYC-2	Social-Emotional	emotions	57	apologizes if he or she hurts someone's feelings
DAYC-2	Social-Emotional	calm	58	remains calm when small requests are denied (e.g., cannot have a snack)
DAYC-2	Social-Emotional	interact	59	works alone at chore for 20 to 30 minutes
DAYC-2	Social-Emotional	play	60	completes pencil/paper games (e.g., dot-to-dot, hidden pictures, mazes)
DAYC-2	Social-Emotional	interact	61	initiates group activities
DAYC-2	Social-Emotional	emotions	62	congratulates others when appropriate
DAYC-2	Social-Emotional	words	63	answers the phone, remembers a simple message, and delivers it to the correct person
DAYC-2	Adaptive Behavior	temp.	1	maintains body temperature without 
DAYC-2	Adaptive Behavior	feeding	2	forms a tight seal around nipple when sucking 
DAYC-2	Adaptive Behavior	feeding	3	swallows liquids with no difficulty
DAYC-2	Adaptive Behavior	feeding	4	coordinates sucking, swallowing, and breathing 
DAYC-2	Adaptive Behavior	feeding	5	opens mouth in anticipation of feeding (sight of breast or bottle)
DAYC-2	Adaptive Behavior	bath	6	enjoys bath; keeps eyes open and indicates pleasure when places in warm water
DAYC-2	Adaptive Behavior	sleeping	7	sleeps for 4- to 10-hour intervals 
DAYC-2	Adaptive Behavior	feeding	8	closes lips when swallowing 
DAYC-2	Adaptive Behavior	feeding	9	swallows pureed foods
DAYC-2	Adaptive Behavior	feeding	10	uses tounge to move food around in mouth
DAYC-2	Adaptive Behavior	feeding	11	shows definite likes and dislikes of various foods (e.g., may spit out or refuse to open lips for undesired foods, eagerly opens mouth for desired foods
DAYC-2	Adaptive Behavior	sleeping	12	sleeps through the night; may take two to three naps during the day
DAYC-2	Adaptive Behavior	feeding	13	holds or supports a bottle to feed self
DAYC-2	Adaptive Behavior	dressing	14	purposely pulls off own socks
DAYC-2	Adaptive Behavior	feeding	15	feeds self finger foods 
DAYC-2	Adaptive Behavior	feeding	16	chews textured foods
DAYC-2	Adaptive Behavior	dressing	17	cooperates in dressing and undressing (e.g., helps put arms in holes)
DAYC-2	Adaptive Behavior	sleeping	18	sleeps through the night, may take one nap during the day
DAYC-2	Adaptive Behavior	feeding	19	drinks from open cup or glass held by adult (not a sippy cup)
DAYC-2	Adaptive Behavior	feeding	20	sips liquid from glass or cup using a straw
DAYC-2	Adaptive Behavior	cleans	21	helps with simple household tasks (e.g., helps put things away)
DAYC-2	Adaptive Behavior	toileting	22	fusses when diaper needs to be changed
DAYC-2	Adaptive Behavior	wash	23	tries to wash own hands and face
DAYC-2	Adaptive Behavior	dressing	24	removes loose clothing such as a jacket, shorts, or a shirt without assistance
DAYC-2	Adaptive Behavior	door	25	opens door by using handle or knob
DAYC-2	Adaptive Behavior	dressing	26	puts on simple clothing independently (e.g., hat, pants)
DAYC-2	Adaptive Behavior	feeding	27	independently eats entire meal with spoon
DAYC-2	Adaptive Behavior	nose	28	wipes own nose; may need to be reminded
DAYC-2	Adaptive Behavior	toileting	29	sits on toilet for at least one minute supervised
DAYC-2	Adaptive Behavior	toileting	30	squats, holds self, or verbalizes bowel and bladder needs most of the time
DAYC-2	Adaptive Behavior	wash	31	washes and dries hands and face without assistance
DAYC-2	Adaptive Behavior	cleans	32	cleans up spills, getting own cloth
DAYC-2	Adaptive Behavior	care	33	shows care when handling an infant or small animal
DAYC-2	Adaptive Behavior	feeding	34	pours milk or juice with some assitance
DAYC-2	Adaptive Behavior	toileting	35	tells adult of toilet needs in time to get to toilet
DAYC-2	Adaptive Behavior	toileting	36	takes responsibility for toileting; may require assistance in wiping
DAYC-2	Adaptive Behavior	feeding	37	gets drink of water from tap unassisted (may need help getting cup from cupboard)
DAYC-2	Adaptive Behavior	teeth	38	brushes teeth independently
DAYC-2	Adaptive Behavior	safety	39	recognizes own home
DAYC-2	Adaptive Behavior	dressing	40	manipulates large buttons or snaps
DAYC-2	Adaptive Behavior	nose	41	covers mouth and nose when coughing and sneezing (hand, elbow, tissue, or handkerchief may be used)
DAYC-2	Adaptive Behavior	sleeping	42	sleeps through the night without wetting
DAYC-2	Adaptive Behavior	dressing	43	hangs up clothes (hanger, hook, or other designated device)
DAYC-2	Adaptive Behavior	dressing	44	dresses self completely, except for tying shoelaces (includes underwear; clothes must be on correctly, including all fasteners)
DAYC-2	Adaptive Behavior	feeding	45	serves self at the table (adult may need to hold serving dish
DAYC-2	Adaptive Behavior	toileting	46	often wants privacy in bathroom
DAYC-2	Adaptive Behavior	safety	47	answers what-to-do-if questions (e.g., "What would you do if you cut your finger?")
DAYC-2	Adaptive Behavior	safety	48	fastens seat belt in automobile independently 
DAYC-2	Adaptive Behavior	safety	49	crosses street safely (e.g., looks both ways, uses crosswalk)
DAYC-2	Adaptive Behavior	cleans	50	puts dirty dishes in sink or dishwasher
DAYC-2	Adaptive Behavior	feeding	51	requests food to be passes at the table
DAYC-2	Adaptive Behavior	dressing	52	selects clothing appropriate for temperature and occasion 
DAYC-2	Adaptive Behavior	sleeping	53	makes own bed; may need to be reminded 
DAYC-2	Adaptive Behavior	feeding	54	sets and clears table without assistance
DAYC-2	Adaptive Behavior	feeding	55	uses table knife for spreading soft butter, jelly, or peanut butter
DAYC-2	Adaptive Behavior	toileting	56	plans ahead to meet toileting needs before beginning an activity
DAYC-2	Adaptive Behavior	bath	57	takes shower or bath independently 
DAYC-2	Adaptive Behavior	cleans	58	cleans counter or work surface with sponge or paper towels
DAYC-2	Adaptive Behavior	cleans	59	dusts furniture
